entry_ts,exit_ts,symbol,direction,contracts,debit,width,pnl,exit_reason,max_loss
2026-04-14T16:55:00+00:00,2026-04-14T17:15:00+00:00,IWM,bull,68,0.44,1.0,945,signal_flip,2992
2026-04-14T18:15:00+00:00,2026-04-14T18:55:00+00:00,IWM,bull,108,0.28,1.0,1319,signal_flip,3024
2026-04-15T16:40:00+00:00,2026-04-15T17:00:00+00:00,SPY,bull,63,0.48,1.0,699,signal_flip,3024
2026-04-15T16:40:00+00:00,2026-04-15T17:15:00+00:00,QQQ,bull,72,0.42,1.0,897,signal_flip,3024
2026-04-15T16:40:00+00:00,2026-04-15T17:25:00+00:00,IWM,bull,89,0.34,1.0,807,signal_flip,3026
2026-04-15T18:05:00+00:00,2026-04-15T19:05:00+00:00,IWM,bear,80,0.39,1.0,-1919,stop,3120
2026-04-16T15:10:00+00:00,2026-04-16T16:10:00+00:00,SPY,bear,81,0.38,1.0,-1217,time,3078
2026-04-16T17:10:00+00:00,2026-04-16T17:35:00+00:00,IWM,bull,135,0.22,1.0,2064,signal_flip,2970
2026-04-16T18:05:00+00:00,2026-04-16T18:40:00+00:00,QQQ,bull,63,0.49,1.0,1024,signal_flip,3087
2026-04-16T19:00:00+00:00,2026-04-16T19:35:00+00:00,IWM,bear,81,0.38,1.0,-1700,stop,3078
2026-04-17T17:20:00+00:00,2026-04-17T17:45:00+00:00,QQQ,bull,74,0.41,1.0,2014,signal_flip,3034
2026-04-17T17:20:00+00:00,2026-04-17T18:05:00+00:00,IWM,bull,102,0.30,1.0,-1683,stop,3060
2026-04-17T17:20:00+00:00,2026-04-17T18:20:00+00:00,SPY,bull,92,0.33,1.0,107,time,3036
2026-04-17T19:10:00+00:00,2026-04-17T19:30:00+00:00,SPY,bull,80,0.38,1.0,1860,signal_flip,3040
2026-04-20T17:15:00+00:00,2026-04-20T18:15:00+00:00,QQQ,bear,73,0.43,1.0,-802,time,3139
2026-04-20T18:20:00+00:00,2026-04-20T18:35:00+00:00,SPY,bear,65,0.48,1.0,971,signal_flip,3120
2026-04-20T18:15:00+00:00,2026-04-20T18:45:00+00:00,IWM,bear,107,0.29,1.0,-1605,stop,3103
2026-04-21T19:20:00+00:00,2026-04-21T19:35:00+00:00,SPY,bear,63,0.49,1.0,2533,signal_flip,3087
2026-04-21T19:20:00+00:00,2026-04-21T19:35:00+00:00,IWM,bear,423,0.07,1.0,13967,signal_flip,2961
2026-04-22T15:40:00+00:00,2026-04-22T16:00:00+00:00,SPY,bull,76,0.47,1.0,640,signal_flip,3572
2026-04-22T16:25:00+00:00,2026-04-22T17:00:00+00:00,SPY,bull,80,0.45,1.0,543,signal_flip,3600
2026-04-22T19:25:00+00:00,2026-04-22T19:45:00+00:00,SPY,bear,181,0.20,1.0,-2554,stop,3620
2026-04-22T19:15:00+00:00,2026-04-22T19:50:00+00:00,IWM,bear,144,0.25,1.0,-2301,stop,3600
2026-04-23T17:00:00+00:00,2026-04-23T17:05:00+00:00,IWM,bull,122,0.28,1.0,-2232,stop,3416
2026-04-23T17:00:00+00:00,2026-04-23T17:15:00+00:00,SPY,bull,74,0.47,1.0,-2639,stop,3478
2026-04-27T15:20:00+00:00,2026-04-27T15:35:00+00:00,QQQ,bull,71,0.47,1.0,860,signal_flip,3337
2026-04-27T17:30:00+00:00,2026-04-27T18:30:00+00:00,QQQ,bear,84,0.40,1.0,339,signal_flip,3360
2026-04-28T17:55:00+00:00,2026-04-28T18:40:00+00:00,QQQ,bear,83,0.40,1.0,-1685,stop,3320
2026-04-28T19:05:00+00:00,2026-04-28T19:30:00+00:00,SPY,bear,89,0.37,1.0,2067,signal_flip,3293
2026-04-29T15:50:00+00:00,2026-04-29T16:50:00+00:00,SPY,bull,91,0.37,1.0,204,time,3367
2026-04-29T15:50:00+00:00,2026-04-29T16:50:00+00:00,QQQ,bull,80,0.42,1.0,-531,time,3360
2026-04-29T17:55:00+00:00,2026-04-29T18:00:00+00:00,QQQ,bear,69,0.49,1.0,1390,signal_flip,3381
2026-04-29T17:55:00+00:00,2026-04-29T18:00:00+00:00,IWM,bear,88,0.38,1.0,2235,signal_flip,3344
2026-04-29T17:55:00+00:00,2026-04-29T18:05:00+00:00,SPY,bear,70,0.48,1.0,2220,signal_flip,3360
2026-04-29T18:05:00+00:00,2026-04-29T18:45:00+00:00,SPY,bull,96,0.37,1.0,1168,signal_flip,3552
2026-04-29T19:10:00+00:00,2026-04-29T19:30:00+00:00,IWM,bear,132,0.27,1.0,4496,signal_flip,3564
2026-04-29T18:55:00+00:00,2026-04-29T19:40:00+00:00,QQQ,bear,81,0.44,1.0,1365,signal_flip,3564
2026-04-29T19:10:00+00:00,2026-04-29T19:50:00+00:00,SPY,bear,124,0.29,1.0,-783,eod,3596
2026-05-01T18:35:00+00:00,2026-05-01T19:05:00+00:00,SPY,bull,81,0.46,1.0,1036,signal_flip,3726
2026-05-01T18:35:00+00:00,2026-05-01T19:05:00+00:00,QQQ,bull,98,0.38,1.0,1238,signal_flip,3724
2026-05-04T15:15:00+00:00,2026-05-04T16:05:00+00:00,SPY,bull,93,0.41,1.0,-2761,stop,3813
2026-05-04T15:15:00+00:00,2026-05-04T16:05:00+00:00,QQQ,bull,88,0.43,1.0,-2686,stop,3784
2026-05-04T15:20:00+00:00,2026-05-04T16:05:00+00:00,IWM,bull,82,0.46,1.0,-3044,stop,3772
2026-05-05T16:35:00+00:00,2026-05-05T16:45:00+00:00,QQQ,bull,96,0.37,1.0,822,signal_flip,3552
2026-05-05T16:55:00+00:00,2026-05-05T17:15:00+00:00,IWM,bull,147,0.24,1.0,1066,signal_flip,3528
2026-05-05T17:25:00+00:00,2026-05-05T18:25:00+00:00,SPY,bear,83,0.43,1.0,-1207,time,3569
2026-05-06T16:50:00+00:00,2026-05-06T17:05:00+00:00,SPY,bull,89,0.40,1.0,849,signal_flip,3560
2026-05-06T18:05:00+00:00,2026-05-06T19:05:00+00:00,SPY,bear,72,0.50,1.0,-2008,stop,3600
2026-05-07T15:55:00+00:00,2026-05-07T16:10:00+00:00,QQQ,bull,73,0.48,1.0,-1914,stop,3504
2026-05-07T15:55:00+00:00,2026-05-07T16:15:00+00:00,SPY,bull,83,0.42,1.0,-2181,stop,3486
2026-05-08T17:20:00+00:00,2026-05-08T18:05:00+00:00,IWM,bear,99,0.34,1.0,-2005,stop,3366
2026-05-08T18:45:00+00:00,2026-05-08T19:15:00+00:00,SPY,bull,93,0.36,1.0,230,signal_flip,3348
2026-05-11T16:50:00+00:00,2026-05-11T17:20:00+00:00,SPY,bull,71,0.47,1.0,340,signal_flip,3337
2026-05-11T16:40:00+00:00,2026-05-11T17:20:00+00:00,IWM,bull,108,0.31,1.0,2198,signal_flip,3348
2026-05-11T17:20:00+00:00,2026-05-11T17:55:00+00:00,IWM,bear,70,0.49,1.0,333,signal_flip,3430
2026-05-11T19:15:00+00:00,2026-05-11T19:25:00+00:00,IWM,bull,308,0.11,1.0,-2365,stop,3388
2026-05-11T18:55:00+00:00,2026-05-11T19:40:00+00:00,SPY,bull,132,0.26,1.0,-2512,stop,3432
2026-05-11T18:55:00+00:00,2026-05-11T19:50:00+00:00,QQQ,bull,76,0.45,1.0,2559,signal_flip,3420
2026-05-12T17:05:00+00:00,2026-05-12T17:15:00+00:00,IWM,bear,70,0.48,1.0,-1969,stop,3360
2026-05-12T17:15:00+00:00,2026-05-12T18:15:00+00:00,SPY,bear,83,0.40,1.0,-1817,stop,3320
2026-05-13T16:20:00+00:00,2026-05-13T17:15:00+00:00,IWM,bear,134,0.24,1.0,197,signal_flip,3216
2026-05-14T17:05:00+00:00,2026-05-14T17:15:00+00:00,QQQ,bull,84,0.39,1.0,-1908,stop,3276
2026-05-15T15:50:00+00:00,2026-05-15T16:05:00+00:00,QQQ,bull,68,0.47,1.0,1130,signal_flip,3196
2026-05-15T15:45:00+00:00,2026-05-15T16:45:00+00:00,SPY,bull,76,0.42,1.0,1580,time,3192
2026-05-15T17:20:00+00:00,2026-05-15T17:45:00+00:00,IWM,bear,70,0.47,1.0,966,signal_flip,3290
2026-05-15T17:20:00+00:00,2026-05-15T18:15:00+00:00,SPY,bear,97,0.34,1.0,996,signal_flip,3298
2026-05-18T18:10:00+00:00,2026-05-18T18:45:00+00:00,SPY,bull,82,0.41,1.0,-2034,stop,3362
2026-05-19T18:35:00+00:00,2026-05-19T18:50:00+00:00,SPY,bull,103,0.32,1.0,-1739,stop,3296
2026-05-19T18:35:00+00:00,2026-05-19T18:50:00+00:00,QQQ,bull,91,0.36,1.0,-1847,stop,3276
2026-05-19T19:20:00+00:00,2026-05-19T19:45:00+00:00,QQQ,bull,90,0.35,1.0,-2248,stop,3150
2026-05-19T18:50:00+00:00,2026-05-19T19:45:00+00:00,IWM,bull,72,0.44,1.0,-1776,stop,3168
2026-05-21T15:45:00+00:00,2026-05-21T16:15:00+00:00,SPY,bear,65,0.47,1.0,517,signal_flip,3055
2026-05-21T15:45:00+00:00,2026-05-21T16:20:00+00:00,QQQ,bear,68,0.45,1.0,1182,signal_flip,3060
2026-05-21T17:10:00+00:00,2026-05-21T17:15:00+00:00,QQQ,bear,76,0.41,1.0,-1739,stop,3116
2026-05-21T18:50:00+00:00,2026-05-21T19:05:00+00:00,SPY,bull,66,0.46,1.0,3097,target,3036
2026-05-21T18:50:00+00:00,2026-05-21T19:05:00+00:00,QQQ,bull,73,0.42,1.0,3599,target,3066
2026-05-22T17:25:00+00:00,2026-05-22T17:50:00+00:00,SPY,bear,71,0.46,1.0,1895,signal_flip,3266
2026-05-22T17:25:00+00:00,2026-05-22T17:50:00+00:00,QQQ,bear,74,0.44,1.0,1930,signal_flip,3256
2026-05-22T19:00:00+00:00,2026-05-22T19:20:00+00:00,QQQ,bull,86,0.39,1.0,-2378,stop,3354
2026-05-22T19:20:00+00:00,2026-05-22T19:25:00+00:00,IWM,bull,166,0.20,1.0,-2291,stop,3320
2026-05-22T19:20:00+00:00,2026-05-22T19:40:00+00:00,SPY,bull,89,0.38,1.0,-2066,stop,3382
2026-05-26T15:45:00+00:00,2026-05-26T16:20:00+00:00,QQQ,bull,72,0.44,1.0,533,signal_flip,3168
2026-05-26T15:25:00+00:00,2026-05-26T16:25:00+00:00,SPY,bull,77,0.41,1.0,-189,signal_flip,3157
2026-05-26T18:10:00+00:00,2026-05-26T18:40:00+00:00,SPY,bear,68,0.47,1.0,363,signal_flip,3196
2026-05-26T18:10:00+00:00,2026-05-26T18:55:00+00:00,QQQ,bear,77,0.41,1.0,436,signal_flip,3157
2026-05-27T15:45:00+00:00,2026-05-27T16:10:00+00:00,IWM,bull,113,0.28,1.0,1783,signal_flip,3164
2026-05-27T16:45:00+00:00,2026-05-27T17:00:00+00:00,SPY,bear,65,0.50,1.0,1047,signal_flip,3250
2026-05-27T18:25:00+00:00,2026-05-27T19:25:00+00:00,QQQ,bear,71,0.46,1.0,1525,signal_flip,3266
2026-05-29T16:35:00+00:00,2026-05-29T16:50:00+00:00,SPY,bear,71,0.47,1.0,864,signal_flip,3337
