entry_date,expiry,underlying,structure,regime,multiplier,short_strike,long_strike,contracts,entry_net,max_loss,pnl,status
2025-06-11,2025-07-18,IWM,put_credit,NORMAL,0.75,207.0,206.0,32,0.30,2240,960,realized
2025-06-11,2025-07-18,QQQ,call_debit,NORMAL,0.75,553.0,531.0,2,8.71,1742,2658,realized
2025-06-11,2025-07-18,QQQ,put_credit,NORMAL,0.75,518.0,517.0,32,0.31,2208,992,realized
2025-06-11,2025-07-18,SPY,call_debit,NORMAL,0.75,622.0,600.0,2,8.69,1738,2662,realized
2025-06-11,2025-07-18,SPY,put_credit,NORMAL,0.75,587.0,586.0,32,0.31,2208,992,realized
2025-08-05,2025-09-11,IWM,call_debit,ELEVATED,0.50,230.0,220.0,3,3.99,1197,1803,realized
2025-08-05,2025-09-11,IWM,put_credit,ELEVATED,0.50,212.0,211.0,20,0.27,1460,540,realized
2025-08-05,2025-09-11,QQQ,call_debit,ELEVATED,0.50,582.0,559.0,1,9.13,913,1387,realized
2025-08-05,2025-09-11,QQQ,put_credit,ELEVATED,0.50,540.0,539.0,20,0.27,1460,540,realized
2025-08-05,2025-09-11,SPY,call_debit,ELEVATED,0.50,650.0,626.0,1,9.56,956,1444,realized
2025-08-05,2025-09-11,SPY,put_credit,ELEVATED,0.50,607.0,606.0,20,0.26,1480,520,realized
2025-09-26,2025-11-02,IWM,call_debit,CALM,1.00,250.0,241.0,8,3.57,2856,696,realized
2025-09-26,2025-11-02,QQQ,call_debit,CALM,1.00,616.0,595.0,3,8.39,2517,3783,realized
2025-09-26,2025-11-02,QQQ,put_credit,CALM,1.00,582.0,581.0,43,0.31,2967,1333,realized
2025-09-26,2025-11-02,SPY,call_debit,CALM,1.00,682.0,660.0,3,8.83,2649,3951,realized
2025-09-26,2025-11-02,SPY,put_credit,CALM,1.00,648.0,647.0,43,0.31,2967,1333,realized
2026-01-13,2026-02-19,IWM,call_debit,NORMAL,0.75,272.0,261.0,5,4.24,2120,-320,realized
2026-01-13,2026-02-19,IWM,put_credit,NORMAL,0.75,254.0,253.0,32,0.31,2208,992,realized
2026-01-13,2026-02-19,QQQ,call_debit,NORMAL,0.75,649.0,625.0,2,9.49,1898,-1898,realized
2026-01-13,2026-02-19,QQQ,put_credit,NORMAL,0.75,611.0,610.0,33,0.32,2244,-2244,realized
2026-01-13,2026-02-19,SPY,call_debit,NORMAL,0.75,715.0,692.0,2,9.28,1856,-1856,realized
2026-01-13,2026-02-19,SPY,put_credit,NORMAL,0.75,678.0,677.0,32,0.32,2176,1024,realized
2026-04-30,2026-06-06,IWM,call_debit,NORMAL,0.75,289.0,277.0,4,4.78,1912,25,OPEN/MTM
2026-04-30,2026-06-06,IWM,put_credit,NORMAL,0.75,270.0,269.0,33,0.32,2244,1053,OPEN/MTM
2026-04-30,2026-06-06,QQQ,call_debit,NORMAL,0.75,693.0,666.0,2,10.72,2144,3187,OPEN/MTM
2026-04-30,2026-06-06,QQQ,put_credit,NORMAL,0.75,650.0,649.0,32,0.31,2208,992,OPEN/MTM
2026-04-30,2026-06-06,SPY,call_debit,NORMAL,0.75,742.0,717.0,2,10.00,2000,1808,OPEN/MTM
2026-04-30,2026-06-06,SPY,put_credit,NORMAL,0.75,702.0,701.0,32,0.32,2176,1024,OPEN/MTM
